key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_51060416b12d	0.7465690539687757	0.387564667354639	0.6274856519075107	Control,Jelly	-	GH149.hmm	0.13513513513513514	37	0.075	40
func_f52de7f9e49c	0.62953055452396	0.4275275618579582	0.6828963739744568	Control,Jelly	-	GH109.hmm	0.7567567567567568	37	0.675	40
func_fa360e705c6a	0.62953055452396	0.4275275618579582	0.6828963739744568	Control,Jelly	-	AA3_2.hmm	0.7567567567567568	37	0.675	40
func_c25cedc0e7fe	0.6049023118112833	0.43671366152471935	0.6929190096192214	Control,Jelly	-	GT83.hmm	0.4864864864864865	37	0.575	40
func_b6485334a776	0.5762993771727616	0.4477665136441205	0.6945954186065167	Control,Jelly	-	GT107.hmm	0.13513513513513514	37	0.2	40
func_cd3820c7eda5	0.5762993771727616	0.4477665136441205	0.6945954186065167	Control,Jelly	-	GH102.hmm	0.13513513513513514	37	0.2	40
func_ccb04fafb3eb	0.5695173960274565	0.450450754083143	0.6945954186065167	Control,Jelly	-	GH20.hmm	0.2702702702702703	37	0.35	40
func_407c2c29911e	0.5647253638476654	0.4523625625378575	0.6945954186065167	Control,Jelly	-	GH13_10.hmm	0.05405405405405406	37	0.1	40
func_797d1275e4ea	0.5647253638476654	0.4523625625378575	0.6945954186065167	Control,Jelly	-	GT94.hmm	0.05405405405405406	37	0.1	40
func_62f3a6748d5a	0.4756758729580036	0.4903875247798838	0.7273419838758045	Control,Jelly	-	AA3.hmm	0.32432432432432434	37	0.4	40
func_11760fe2cd6f	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GT32.hmm	0.05405405405405406	37	0.025	40
func_1f94c8ef5dea	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH78.hmm	0.05405405405405406	37	0.025	40
func_2062c07dc8a4	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH106.hmm	0.05405405405405406	37	0.025	40
func_2133b346fb0d	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH95.hmm	0.05405405405405406	37	0.025	40
func_3c5ab9c235cd	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH116.hmm	0.05405405405405406	37	0.025	40
func_81927110975d	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GT56.hmm	0.05405405405405406	37	0.025	40
func_8ba17368546f	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH88.hmm	0.05405405405405406	37	0.025	40
func_a6d53c7a97ee	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH13_36.hmm	0.05405405405405406	37	0.025	40
func_ee7dce0fc854	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH104.hmm	0.05405405405405406	37	0.025	40
func_f0b6c1914e00	0.4333252114402813	0.5103618122153749	0.7273419838758045	Control,Jelly	-	GH28.hmm	0.05405405405405406	37	0.025	40
func_b185fd6586a8	0.43332521144027997	0.5103618122153755	0.7273419838758045	Control,Jelly	-	GT51.hmm	0.945945945945946	37	0.975	40
func_9cf9c9357a57	0.3982141143593572	0.5280130066918142	0.7435922816133241	Control,Jelly	-	AA12.hmm	0.08108108108108109	37	0.125	40
func_d87a79616a55	0.3982141143593572	0.5280130066918142	0.7435922816133241	Control,Jelly	-	GH65.hmm	0.08108108108108109	37	0.125	40
func_2c77efb56126	0.35734506145645	0.549984430342511	0.7699782024795153	Control,Jelly	-	AA1.hmm	0.21621621621621623	37	0.275	40
func_0a78e4f9c066	0.30580332558693846	0.5802669233685144	0.7925244434989387	Control,Jelly	-	PL12.hmm	0.08108108108108109	37	0.05	40
func_9d224943b748	0.30580332558693846	0.5802669233685144	0.7925244434989387	Control,Jelly	-	GH15.hmm	0.08108108108108109	37	0.05	40
func_46eb3271b3ba	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH166.hmm	0.02702702702702703	37	0.05	40
func_52071fef259d	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH13_20.hmm	0.02702702702702703	37	0.05	40
func_596371b586df	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GT11.hmm	0.02702702702702703	37	0.05	40
func_5a4e5a784701	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH5.hmm	0.02702702702702703	37	0.05	40
func_678e66978163	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	CBM73.hmm	0.02702702702702703	37	0.05	40
func_7e83eb432b67	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH13_14.hmm	0.02702702702702703	37	0.05	40
func_cde82b1e4e53	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH13_3.hmm	0.02702702702702703	37	0.05	40
func_eba39067f77e	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH13_6.hmm	0.02702702702702703	37	0.05	40
func_f784a5a77177	0.2709157064006763	0.6027181692155794	0.7925244434989387	Control,Jelly	-	GH13_27.hmm	0.02702702702702703	37	0.05	40
func_f451742d6d80	0.2549324340310584	0.6136232145778128	0.8024303575248322	Control,Jelly	-	GH81.hmm	0.10810810810810811	37	0.075	40
func_b9a08aa0fc4a	0.24348656692897352	0.6216991957193061	0.804154394463016	Control,Jelly	-	GH103.hmm	0.7027027027027027	37	0.65	40
func_2093d5f7d9b9	0.24348656692897294	0.6216991957193064	0.804154394463016	Control,Jelly	-	GH2.hmm	0.2972972972972973	37	0.35	40
func_d2e8a458dcac	0.23218728346084494	0.6299067123395794	0.8103664731719995	Control,Jelly	-	GT14.hmm	0.13513513513513514	37	0.175	40
func_759d871d6104	0.22323041873855948	0.6365894487037391	0.8145606924273652	Control,Jelly	-	GH13_18.hmm	0.32432432432432434	37	0.275	40
func_e5e99ba5da6e	0.21036132208547842	0.64648435078993	0.820605474982455	Control,Jelly	-	GT25.hmm	0.1891891891891892	37	0.15	40
func_dfab172d1491	0.20816513803770553	0.6482093667928636	0.820605474982455	Control,Jelly	-	GT28.hmm	0.7837837837837838	37	0.825	40
func_ba5108d76647	0.19375583344002673	0.6598088819231335	0.8308704439032052	Control,Jelly	-	AA4.hmm	0.6486486486486487	37	0.6	40
func_28894e6ad659	0.18498596085287944	0.6671229415943332	0.8312840842903209	Control,Jelly	-	GH33.hmm	0.16216216216216217	37	0.2	40
func_7ecabcbfa072	0.18498596085287944	0.6671229415943332	0.8312840842903209	Control,Jelly	PF13704.5	GT2_Glyco_tranf_2_4.hmm	0.16216216216216217	37	0.2	40
func_7ff5a38499a1	0.14973792545458847	0.6987859319944276	0.8662033948680925	Control,Jelly	-	GH13.hmm	0.1891891891891892	37	0.225	40
func_fbee0416107b	0.13888325973421534	0.7093937366819023	0.8747964214004806	Control,Jelly	-	GT70.hmm	0.05405405405405406	37	0.075	40
func_a259609d138d	0.03468475225222844	0.8522577894987793	1	Control,Jelly	-	GH24.hmm	0.13513513513513514	37	0.15	40
func_39a8103e2629	0.01432142073153466	0.9047428719734641	1	Control,Jelly	-	GH36.hmm	0.1891891891891892	37	0.2	40
func_85ec396d9814	0.014042383283260157	0.9056710495255089	1	Control,Jelly	-	GT9.hmm	0.5135135135135135	37	0.5	40
func_7299170df15f	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	GH13_2.hmm	0.05405405405405406	37	0.05	40
func_7b4da86f1d21	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	GH105.hmm	0.05405405405405406	37	0.05	40
