file	percent	reads	taxon_id	taxon_name
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.012324	4682	1970189	Bacteria;Bacteroidota;Bacteroidia;Marinilabiliales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.012079	4589	85007	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.011977	4550	510684	Bacteria;Pseudomonadota;Alphaproteobacteria;Sneathiellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.011682	4438	48461	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.011653	4427	206389	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.010397	3950	666506	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.010266	3900	2037	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.009713	3690	213118	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.009260	3518	133814	Archaea;Candidatus Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.009113	3462	362534	Bacteria;Pseudomonadota;Alphaproteobacteria;Kordiimonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.009000	3419	213115	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.007923	3010	135624	Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.007312	2778	85011	Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.007197	2734	189778	Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.006889	2617	1643688	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.006012	2284	85009	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.005994	2277	31932	Archaea;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.005894	2239	135625	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.005672	2155	1775403	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.005462	2075	3024411	Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.005204	1977	73028	Eukaryota;Haptophyta;NA;Prymnesiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.005167	1963	1737405	Bacteria;Bacillota;Tissierellia;Tissierellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.004601	1748	2881377	Bacteria;Cyanobacteriota;Cyanophyceae;Pseudanabaenales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.004475	1700	203491	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.004443	1688	85010	Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.004254	1616	136	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.004080	1550	2066490	Bacteria;Pseudomonadota;Alphaproteobacteria;Emcibacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.004046	1537	1921002	Bacteria;Pseudomonadota;Alphaproteobacteria;Holosporales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003943	1498	85012	Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003843	1460	29	Bacteria;Myxococcota;Myxococcia;Myxococcales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003827	1454	1161	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003719	1413	1150	Bacteria;Cyanobacteriota;Cyanophyceae;Oscillatoriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003693	1403	415000	Bacteria;Verrucomicrobiota;Opitutae;Opitutales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003572	1357	69541	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003211	1220	204433	Bacteria;Acidobacteriota;Terriglobia;Terriglobales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.003193	1213	191411	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;NA;NA;NA;
