Experiment	Treatment	Bottle	Time(hours)	Enzyme	Measurement	stdev
A	C	C1	24	OLE	1625,408045	253,5575168
A	C	C2	24	OLE	2123,414766	317,470125
A	C	C3	24	OLE	826,2916242	101,1028217
A	J	J1	24	OLE	1874,138597	29,83778776
A	J	J2	24	OLE	497,2850992	86,23413918
A	J	J3	24	OLE	813,5136465	26,79230487
A	C	C1	43	OLE	2479,023972	126,5090721
A	C	C2	43	OLE	3938,11361	475,3026473
A	C	C3	43	OLE	1999,599896	269,9036861
A	J	J1	43	OLE	1596,570669	151,2900453
A	J	J2	43	OLE	810,2753908	30,57153417
A	J	J3	43	OLE	1073,425576	51,29437479
A	C	C1	67	OLE	1359,055239	96,86438917
A	C	C2	67	OLE	2507,895231	226,5103843
A	C	C3	67	OLE	976,263071	121,1744247
A	J	J1	67	OLE	1487,632877	56,50823866
A	J	J2	67	OLE	790,3049658	94,70888314
A	J	J3	67	OLE	1344,063838	75,85381154
B	C	SC1	0	OLE	2725,351057	248,2645025
B	C	SC2	0	OLE	2124,727459	227,0614901
B	C	SC3	0	OLE	2550,324707	194,6694182
B	J	SJ1	0	OLE	1152,16546	67,25165137
B	J	SJ2	0	OLE	661,2025858	29,3284988
B	J	SJ3	0	OLE	312,3587896	13,73320529
B	C	SC1	24	OLE	566,5801952	52,33824005
B	C	SC2	24	OLE	362,7239465	18,41687578
B	C	SC3	24	OLE	416,4452575	32,38887215
B	J	SJ1	24	OLE	218,9124878	22,50696675
B	J	SJ2	24	OLE	78,66372681	8,067201902
B	J	SJ3	24	OLE	106,4534745	8,947854303
B	C	SC1	72	OLE	1296,944504	205,8713171
B	C	SC2	72	OLE	431,9684668	19,55206295
B	C	SC3	72	OLE	664,5102771	61,52890389
B	J	SJ1	72	OLE	500,2602604	36,36005959
B	J	SJ2	72	OLE	330,6690127	34,21088974
B	J	SJ3	72	OLE	223,9972741	26,74363879
B	C	SC1	96	OLE	620,2166688	52,28728108
B	C	SC2	96	OLE	218,2273476	17,89607465
B	C	SC3	96	OLE	230,3309505	19,85477262
B	J	SJ1	96	OLE	228,4855159	6,471504919
B	J	SJ2	96	OLE	153,4782508	7,49725045
B	J	SJ3	96	OLE	131,7696788	11,25345897
B	C	SC1	120	OLE	370,9033249	25,4832991
B	C	SC2	120	OLE	103,8983457	13,27222979
B	C	SC3	120	OLE	124,7758499	12,92269068
B	J	SJ1	120	OLE	175,8227667	17,92599383
B	J	SJ2	120	OLE	113,5187866	16,26224229
B	J	SJ3	120	OLE	103,6145035	13,71436802
