key	function	accession	associated_groups	p_Control	N_Control	p_Jelly	N_Jelly
func_d8230d13dc9e	GH17.hmm	-	Control,Jelly	0.10810810810810811	37	0.05	40
func_d8693a4aecab	CBM66.hmm	-	Control	0.05405405405405406	37	0	40
func_d87a79616a55	GH65.hmm	-	Control,Jelly	0.08108108108108109	37	0.125	40
func_db7b6c6deb6f	CBM2.hmm	-	Jelly	0	37	0.025	40
func_dc51a09a5680	AA10.hmm	-	Jelly	0	37	0.075	40
func_dcd86c0c44d3	GH43.hmm	-	Control	0.02702702702702703	37	0	40
func_deff2a5c2dfa	GT4.hmm	-	Control,Jelly	0.972972972972973	37	0.925	40
func_dfab172d1491	GT28.hmm	-	Control,Jelly	0.7837837837837838	37	0.825	40
func_e2c4ac71a481	GH141.hmm	-	Jelly	0	37	0.025	40
func_e320a753ea8b	GH13_7.hmm	-	Jelly	0	37	0.025	40
func_e325343333b2	CE14.hmm	-	Control,Jelly	0.35135135135135137	37	0.35	40
func_e5e99ba5da6e	GT25.hmm	-	Control,Jelly	0.1891891891891892	37	0.15	40
func_e61c5e247dd7	PL37.hmm	-	Jelly	0	37	0.025	40
func_e8024c4d8362	GH16_21.hmm	-	Jelly	0	37	0.025	40
func_e820314b7d49	GH112.hmm	-	Jelly	0	37	0.025	40
func_e96e12a4d8f5	GH43_24.hmm	-	Jelly	0	37	0.05	40
func_eb3701985f0c	GH39.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_eba39067f77e	GH13_6.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_ebc902ef4725	GT92.hmm	-		0	37	0	40
func_ec0f255b28ea	GH55.hmm	-	Jelly	0	37	0.025	40
func_ee7dce0fc854	GH104.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_eef97a89eccc	GH77.hmm	-	Control,Jelly	0.08108108108108109	37	0.225	40
func_ef9d4d8c5918	GH13_38.hmm	-	Control,Jelly	0.05405405405405406	37	0.125	40
func_f05ac33d73f6	PL6_3.hmm	-	Jelly	0	37	0.025	40
func_f0b6c1914e00	GH28.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_f16a8662c034	GH1.hmm	-	Control,Jelly	0.1891891891891892	37	0.3	40
func_f18758569551	GT81.hmm	-	Control,Jelly	0.43243243243243246	37	0.225	40
func_f25486789e66	PL29.hmm	-	Jelly	0	37	0.025	40
func_f4406be64b84	GH100.hmm	-		0	37	0	40
func_f451742d6d80	GH81.hmm	-	Control,Jelly	0.10810810810810811	37	0.075	40
func_f4e9197d3acc	CBM48.hmm	-	Jelly	0	37	0.025	40
func_f52de7f9e49c	GH109.hmm	-	Control,Jelly	0.7567567567567568	37	0.675	40
func_f693339c8878	GH154.hmm	-	Jelly	0	37	0.025	40
func_f784a5a77177	GH13_27.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_f8feb5b77b2f	PL7.hmm	-	Control	0.02702702702702703	37	0	40
func_fa0a2fc8eada	PL28.hmm	-	Jelly	0	37	0.025	40
func_fa360e705c6a	AA3_2.hmm	-	Control,Jelly	0.7567567567567568	37	0.675	40
func_fbee0416107b	GT70.hmm	-	Control,Jelly	0.05405405405405406	37	0.075	40
func_fdf4e068a139	PL12_3.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_fe634ee6ff3a	GH73.hmm	-	Control,Jelly	0.6216216216216216	37	0.725	40
func_ff2d5d290427	GH13_23.hmm	-	Control,Jelly	0.1891891891891892	37	0.35	40
func_ffb97ebd0a7e	PL8_3.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
